Title,Level,Correct_Answer,Category,Choice_1,Choice_2,Choice_3,Choice_4
The end-of-file marker is automatically written when a file is closed,Practitioner, A,C++,TRUE,FALSE,,
"When a file is opened by the program, the file stream object’s “read position” is",Practitioner, B,C++,At the end of the file,At the beginning of the file,,
Objects in C++ are created from abstract data types that encapsulate data and functions together,Beginner, A,C++,TRUE,FALSE,,
The public access specifier is used to protect important data,Beginner, B,C++,TRUE,FALSE,,
A C++ class is almost similar to a structure,Beginner, A,C++,TRUE,FALSE,,
C++ Class declarations should never be stored in their own header file,Beginner, B,C++,TRUE,FALSE,,
"Assume that Honda is an instance of the Car class,
and that Car class has a member function named run.
Which of the following is a correct call to the run function?",Beginner, B,C++,Honda->run;,Honda.run();,,
"#include 
using namespace std;
class TestingClass
{
public:
TestingClass(int x)
{
 cout << x << endl; 
}

TestingClass()
{
 cout <<""Hello!""<< endl; 
}

};
int main()
{
 TestingClass test(77);
 return 0;
}",Practitioner, B,C++,The programs runs with no output,77,,
"A public member function may be called from a statement outside the class, is this correct?",Beginner, A,C++,TRUE,FALSE,,
Which member function of a class is called automatically when any object is created of that class?,Beginner, C,C++,static function,utility function,,
A class is a data type that is defined by the coder?,Beginner, A,C++,TRUE,FALSE,,
The name of constructor is same name as?,Beginner, C,C++,first variable name,first function,,
A class can have only one constructor,Practitioner, A,C++,TRUE,FALSE,,
The key words private and public are access specifiers,Beginner, A,C++,TRUE,FALSE,,
Destructor functions are often used to free memory that was allocated by the object,Beginner, A,C++,TRUE,FALSE,,
The UML provides a set of standard diagrams for graphically depicting object-oriented systems,Beginner, A,C++,TRUE,FALSE,,
"Which directive is used to create an “include guard”,
which allows a program to be conditionally compiled.
This prevents a header file from being included more than once",Practitioner, C,C++,#include,#guard,,
An overloaded operator works with user defined data types,Practitioner, A,C++,TRUE,FALSE,,
"When you redefine the way a standard operator works when it is used with class objects, you have done?",Practitioner, D,C++,re-assigned,reformatted,,
"If you overload the prefix ++ operator, the postfix ++ operator is automatically overloaded",Practitioner, B,C++,TRUE,FALSE,,
It is possible to declare an entire class as a friend of another class,Practitioner, A,C++,TRUE,FALSE,,
"If a member variable is declared as one of the below, all objects of that class have access to that variable.",Practitioner, A,C++,static,auto,,
"What type of function is not a member of a class, but has access to the private members of the class.",Practitioner, A,C++,Static function,constructor,,
When is the external name of the file used in the program,Practitioner, D,C++,Any time you read or write to the file,Never,,
"In C++, if you overload the < operator, you must also overload TRUE FALSE the > operator",Practitioner, B,C++,TRUE,FALSE,,
"By default, when an object is assigned to another,
each member of one object is copied to its counterpart in the other object.",Practitioner, A,C++,TRUE,FALSE,,
"this pointer is a special built-in pointer that is automatically
passed as a hidden argument to all non-static member functions",Practitioner, A,C++,TRUE,FALSE,,
Which of following allows us to create new classes based on existing classes,Practitioner, B,C++,Polymorphism,Inheritance,,
More than one class may be derived from a base class,Beginner, A,C++,TRUE,FALSE,,
"When you derive a class from an existing class, you __ add new data and functions",Beginner, C,C++,never,must,,
Polymorphism means the ability to take many forms,Beginner, A,C++,TRUE,FALSE,,
"A virtual function is declared by placing the
key word ___ in front of the return type in 
the base class’s function declaration",Practitioner, A,C++,virtual,private,,
"In the following statement, what is the derived class?
class Car : protected Vehicle",Beginner, A,C++,Car,Vehicle,,
A virtual function is a function that expects to be overridden in a derived class,Practitioner, A,C++,TRUE,FALSE,,
"The statement below declares a pure virtual function, and must be overridden in derived classes:
virtual void function() = 0;",Practitioner, A,C++,TRUE,FALSE,,
The v-table is per class and not per object,Practitioner, A,C++,TRUE,FALSE,,
dynamic_cast can be used only with pointers and references to objects,Practitioner, A,C++,TRUE,FALSE,,
dynamic_cast is always successful when we cast a class to one of its base classes,Practitioner, A,C++,TRUE,FALSE,,
"When dynamic_cast cannot cast a pointer because it is not
a complete object of the required class it returns
a null pointer to indicate the failure",Practitioner, A,C++,TRUE,FALSE,,
"static_cast can perform conversions between pointers
to related classes not only from the derived class to its base,
but also from a base class to its derived",Practitioner, A,C++,TRUE,FALSE,,
"reinterpret_cast converts any pointer type to any other pointer type, even of unrelated classes",Practitioner, A,C++,TRUE,FALSE,,
"const_cast manipulates the constness of an object, either to be set or to be removed",Practitioner, A,C++,TRUE,FALSE,,
An exception is always raised using a throw expression,Beginner, A,C++,TRUE,FALSE,,
Any object (built-in or user-defined) can be thrown,Practitioner, A,C++,TRUE,FALSE,,
"The formal parameter can be an ellipsis, in which case it handles all exceptions not yet handled",Practitioner, A,C++,TRUE,FALSE,,
Exceptions can be ignored,Expert, A,C++,TRUE,FALSE,,
"If not caught by handlers right after try block, exception moves to next-higher level and may be caught there",Practitioner, A,C++,TRUE,FALSE,,
"If no handler at any level catches the exception, terminate() will be called and program will terminate",Practitioner, A,C++,TRUE,FALSE,,
"void some_function() throw ();

How does above function behaves?",Practitioner, D,C++,Function declaration has error,Behaviour is unknown,,
In C++ only synchronous exception can be handled,Beginner, A,C++,TRUE,FALSE,,
"#include
using namespace std;

class Country{
private: int population;

public: void setPopulation(int pop){
             this->population = pop;
          }
         int getPopulation(){
             return this->population;
         }
};

class USA: private Country{

};

int main(){
USA obj;
obj.setPopulation(100);
cout<(A) 100(B) 0(C) Compilation Error(D) Garbage Value is printed C  CompilerExpertinheritance in C++",Expert, C,C++,100,0,,
"#include
#include
using namespace std;

int main()
{
    char one[]=""one"";
    char two[]=""two"";
    
    if(one==two){
        cout<<""Equal"";
    }
    
    if(strcmp(one, two)==0){
        cout<<""Equal"";
    }
    else
    {
        cout<<""NotEqual"";
    }

    return 0;
}",Practitioner, D,C++,Equal,EqualEqual,,
Can we have nested namespaces in C++?,Beginner, A,C++,Yes,No,,
"What should be the location of ""using namespace std;"" in c++ code?",Beginner, D,C++,Before all #include,After #include<iostream>,,
"//What is different between these two lines?
 using namespace std;
 using std::cout;",Beginner, A,C++,"Using the entire namespace, using only single name from namespace",There is no difference,,
"#include
#define killer using

killer namespace std;

int main(){
    std::cout<<""CppBuzz.com"";
    return 0;
}",Beginner, D,C++,Runtime Error,Compilation Erro,,
"//How this code would behave?

#include
#include
using namespace std;

class cppbuzz{
    
public:
    cppbuzz(){
        cout<<""constructor."";
        int a; 
        throw a;
    }
    ~cppbuzz(){
        cout<<""destructor."";
    }
};

int main()
{
    cppbuzz *ptr = new cppbuzz();
    delete ptr;

return 0;
}",Practitioner, A,C++,Program is terminated without printing anything on console,Prints 'constructor' and then it is terminated,,
Select true statement about weak_ptr of C++ 11,Practitioner, A,C++,C++11's weak_ptrs are used with shared_ptrs.,C++11's weak_ptrs can be used without weak_ptrs,,
Select the false statement about shared_ptr,Practitioner, C,C++,We can only use these smart pointers to refer to objects allocated with new,It is  recommended that you do not use both 2 shared_ptr and raw pointer on the same object,,
"Is there any error in following code?

unique_ptr ptr1 (new XYZ); 
unique_ptr ptr2(ptr1);",Practitioner, A,C++,This is valid code snippet with no error,Error: Copy construction is not allowed at line 2,,
How to transfer the ownership of unique_ptrs?,Expert, C,C++,We can't transfer the ownership of unique pointers,It is possible using copy constructor - unique_ptr<Thing> ptr2(ptr1);,,
"Find the output of following code

#include 

using namespace std;

int main(){
    
    int * ptr = new int;
    cout<(A) Address of memory allocated | Garbage Value(B) Address of memory allocated | 0(C) Address of ptr | 0(D) Address of ptr | Garbage Value B  CompilerBeginnernew_delete in C++",Beginner, B,C++,Address of memory allocated | Garbage Value,Address of memory allocated | 0,,
"How this C++ code behaves?

#include 

using namespace std;

int main(){
    
    int * ptr = NULL;
    ptr++;
    delete ptr;
    return 0;
}",Beginner, C,C++,Program runs without any error,Compilation Error,,
"Which of the following Exception is thrown by C++ 'new'
when there is no memory available to allocate?",Practitioner, D,C++,bad_exception,overflow_error,,
"// find the output of below program if user enters: 2 2 2
#include
using namespace std;

class Rectangle
{
protected:
int length,width,area;
public:
void getdata()
{
cout<<""enter data :"";
cin>>length>>width;
}
void print()
{
area=length*width;    
cout<>height>>length>>width;
}
void dprint()
{
volume=length*height*width;    
cout<(A) 08(B) 04(C) 84(D) 48 D  CompilerPractitionerinheritance in C++",Practitioner, D,C++,8,4,,
"//find the output of below c++ program

#include
using namespace std;

class base{
    public: 
    void hello(){
        cout<<""base"";
    }
};

class derived: private base{
    
};

int main()
{
derived obj;
obj.hello();
return 0;
}",Practitioner, D,C++,base,Nothing is printed,,
"#include
using namespace std;

class cppbuzz_base{
    public: 
    
    void hello(){
        cout<<""Hello Base "";
    }
};

class derived: public cppbuzz_base{
    public:
    
    void hello(){
        cout<<""Hello Derived "";
    }
    
};

int main()
{
derived obj;
cppbuzz_base baseObj = cppbuzz_base(obj);
baseObj.hello();
return 0;
}",Practitioner, B,C++,Hello Derived,Hello Base,,
